A,Qatar,https://en.wikipedia.org/wiki/Qatar_national_football_team,iVBORw0KGgoAAAANSUhEUgAAABcAAAAJBAMAAAAr2Kp4AAAABGdBTUEAALGPC/xhBQAAACBjSFJNAAB6JgAAgIQAAPoAAACA6AAAdTAAAOpgAAA6mAAAF3CculE8AAAAD1BMVEX////9+vvPoK6VLEyKFTi5MywGAAAAAWJLR0QAiAUdSAAAAAd0SU1FB+YDFxQDNnkfij8AAAAUSURBVAjXY2BgYBAycQEDBwY6cQA2pxMPt9UoIAAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyMi0wMy0yM1QyMDowMzo1NCswMDowMMqYWDcAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjItMDMtMjNUMjA6MDM6NTQrMDA6MDC7xeCLAAAAAElFTkSuQmCC
A,Ecuador,https://en.wikipedia.org/wiki/Ecuador_national_football_team,iVBORw0KGgoAAAANSUhEUgAAABcAAAAPCAMAAAA4caRkAAAABGdBTUEAALGPC/xhBQAAACBjSFJNAAB6JgAAgIQAAPoAAACA6AAAdTAAAOpgAAA6mAAAF3CculE8AAAAn1BMVEX/3QDnyQ3WvB7ZvBz11Qn21gOrjxaXfiGWhlOScxyxkxf41gP32RPZxBzLvyCVikni0hfZwxvqyxjBxB2Rtpt+vqiAq5GhuSWBllGKmEqRgEuitJ+hvKyeuZuRgUqJl0oDTqIRVpljdWVllIojfpNsl5AHUaKsrj+OgGSLiV6EcFaqrTcJUqMZW6FFdHtRVXM4bIOzKUS3KUDtHCT///8MWnqiAAAAAWJLR0Q0qbHp/QAAAAd0SU1FB+EICQorMu+ET/MAAABkSURBVBjTY2CgNmBkYmBmwRRmZWPn4OTixhDn4eXjFxDkwRAXEhYRFRMXgvMloEBSSlpGVk4exmVQgAJFJWUVVSVFGBcurqauoamlrYYhrqOrp2+gqwMXN0QAIyQ2gzF2QKo4AMfJHugfC1yWAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDE3LTA4LTA5VDEwOjQzOjUwKzAwOjAwRXtVRwAAACV0RVh0ZGF0ZTptb2RpZnkAMjAxNy0wOC0wOVQxMDo0Mzo1MCswMDowMDQm7fsAAAAASUVORK5CYII=
A,Senegal,https://en.wikipedia.org/wiki/Senegal_national_football_team,iVBORw0KGgoAAAANSUhEUgAAABcAAAAPCAMAAAA4caRkAAAABGdBTUEAALGPC/xhBQAAACBjSFJNAAB6JgAAgIQAAPoAAACA6AAAdTAAAOpgAAA6mAAAF3CculE8AAAAOVBMVEUAhT9UqUD970LrYS3jGyOQwUG10UGrzEERi0CpzEG10kHa4UIXj0AYjz8/oD80m0BCoT/J2kL////7tcppAAAAAWJLR0QSe7xsAAAAAAd0SU1FB+EICQsRGBBUMmsAAAA0SURBVBjTY2CAAEYmCGBmgQAGOoqzYhVnY+fg5MIizs3DwMuNzRw+fgGs5gsC4YD4C1kcADTdAz7KgcEuAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDE3LTA4LTA5VDExOjE3OjI0KzAwOjAwHtut8AAAACV0RVh0ZGF0ZTptb2RpZnkAMjAxNy0wOC0wOVQxMToxNzoyNCswMDowMG+GFUwAAAAASUVORK5CYII=
A,Netherlands,https://en.wikipedia.org/wiki/Netherlands_national_football_team,iVBORw0KGgoAAAANSUhEUgAAABcAAAAPAgMAAABywbzFAAAABGdBTUEAALGPC/xhBQAAACBjSFJNAAB6JgAAgIQAAPoAAACA6AAAdTAAAOpgAAA6mAAAF3CculE8AAAACVBMVEWuHCj///8hRottIBdsAAAAAWJLR0QB/wIt3gAAAAd0SU1FB+QIFBElOQQY6ZUAAAAWSURBVAjXY2AgDEJBIAQvtQoEVuCjAGabHdQD7jvvAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDIwLTA4LTIwVDE3OjM3OjU3KzAwOjAwxwRBDAAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMC0wOC0yMFQxNzozNzo1NyswMDowMLZZ+bAAAAAASUVORK5CYII=
B,England,https://en.wikipedia.org/wiki/England_national_football_team,iVBORw0KGgoAAAANSUhEUgAAABcAAAAOBAMAAAA23ZrAAAAABGdBTUEAALGPC/xhBQAAACBjSFJNAAB6JgAAgIQAAPoAAACA6AAAdTAAAOpgAAA6mAAAF3CculE8AAAAD1BMVEX////ULT7OESTroKfRIjOGZM2CAAAAAWJLR0QAiAUdSAAAAAd0SU1FB+EICRMFJu2uCl0AAAAkSURBVAjXY2AAASEBBgQgkWMMAk7OINKAQQkBFFA5KMootRQAYaMJgWhP7HMAAAAldEVYdGRhdGU6Y3JlYXRlADIwMTctMDgtMDlUMTk6MDU6MzcrMDA6MDB84WtjAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDE3LTA4LTA5VDE5OjA1OjM3KzAwOjAwDbzT3wAAAABJRU5ErkJggg==
B,Iran,https://en.wikipedia.org/wiki/Iran_national_football_team,iVBORw0KGgoAAAANSUhEUgAAABcAAAANCAMAAAB1uQVvAAAABGdBTUEAALGPC/xhBQAAACBjSFJNAAB6JgAAgIQAAPoAAACA6AAAdTAAAOpgAAA6mAAAF3CculE8AAAAolBMVEUjn0BCrVtQs2dKsGJNsWVNsWNOsmVMsWRLsGNPsmZKsGNMsGNLsWLD5cvJ58/H587I5s7G5s/I58/G58/I5s/E5cv////3xsbxo6P87e3ukZHvjo7vkpL97u72xcXnW1v2x8f2vLz2wMD2vr72v7/1vr72vb31v7/2wcH1urrfISHiNTXgLCzhMzPhLy/gMDDhMjLhMTHgLy/hMDDgKSnaAABaHuESAAAAAWJLR0QWfNGoGQAAAAd0SU1FB+EICgE2JPrc1rEAAAB9SURBVBjTY2CgEmBkYmZhZWNn4uDkYuNmYWfj4ORhYmZiZODl4+cTAEJBIX4hYSAbCIVE+EQZxOBAXEIcwUGIS0pJy8hiEReTk1dAUq+opKykoqQEJFXV1JVUldQ1VDVUNDQZtLR1dPWAUN9Az9DI2BAIDIDYhMEUOyBVHAAXBh3grURbvgAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAxNy0wOC0xMFQwMTo1NDozNiswMDowMNnSUC0AAAAldEVYdGRhdGU6bW9kaWZ5ADIwMTctMDgtMTBUMDE6NTQ6MzYrMDA6MDCoj+iRAAAAAElFTkSuQmCC
B,USA,https://en.wikipedia.org/wiki/United_States_men%27s_national_soccer_team,iVBORw0KGgoAAAANSUhEUgAAABcAAAAMCAMAAAC+5dbKAAAABGdBTUEAALGPC/xhBQAAACBjSFJNAAB6JgAAgIQAAPoAAACA6AAAdTAAAOpgAAA6mAAAF3CculE8AAAAnFBMVEVZWIQ+PXBaWYRYV4NAP3FUU4BEQ3SfNUy4M0RRUH1bWoRZWYRhYIpXVoJjYotdXIdTUn/Ovcnz3eBHRnZQT3xbWoVMS3pcW4apUGXEVWNfXodlZI1YWIRdXIVkY4xdXIZYV4LForDnu8FGRXZIR3dZWIOya37Qd4JUVIBcXIZYWINjY4u8h5jcmqKTcIuSboqSb4qTb4vNkZ3///92Ad7FAAAAAWJLR0QzN9V8XgAAAAd0SU1FB+EICRMGJCiNOLIAAABvSURBVBjTbcjHEoJAEAXAxywIIkkQVkwEA5gG8f8/zutYNX1swCHjkrcgP5CwDFcRxUmarXMJBW2orKwttrWE2Oz2h+OpabteAp2b9GKvVXkbJIzmnrSPJ42vtwSemD88z/z9/0GHXodah1yHQPcDY7McT1FbsogAAAAldEVYdGRhdGU6Y3JlYXRlADIwMTctMDgtMDlUMTk6MDY6MzYrMDA6MDAxodvUAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDE3LTA4LTA5VDE5OjA2OjM2KzAwOjAwQPxjaAAAAABJRU5ErkJggg==
B,Wales,https://en.wikipedia.org/wiki/Wales_national_football_team,iVBORw0KGgoAAAANSUhEUgAAABcAAAAOCAMAAADzLXfBAAAABGdBTUEAALGPC/xhBQAAACBjSFJNAAB6JgAAgIQAAPoAAACA6AAAdTAAAOpgAAA6mAAAF3CculE8AAABhlBMVEX////99/jlj5322d311dr++vv++/zxw8vhfIzMPFPIEC7KGDX44ub77/HfdYfKGTbyxczigZHpoKz55Ofhe4vnkqDYVmvLHTnrprHutr/MIz7vusLhfY3pnqv89PX11Nr32t/rp7LJFjPutL322N3IEjDkjJr+/P3yyM/UQ1rmkZ/23ODQNEzsrLj0ztTus73VSF/TQlnjhpX++frURFv33eH//f3LHjrJFTLcaHvOKEPJEzDljZv21tvVSWDdbH4AsUAjlT6JQzR2UTUUoj/HES6QPTMToj4Npz8FrD+SPDO+GC/AFi+7Gi/FEy5nXjcIqz8LqD+lLDGHRTTGES6zITBvWDYPpT5AfjtbZzitJjFhYzcBsEAYnT5VbThMdDkCsD9KdjmpKTHDFC9dZjd5UDU3hDsIq0BxVjVjYjeoKTEKqT9PczqERzRwVzaaNTI4hDsGrD+BSDRSbzm0IDAZnT4DrkBiYjhPcTk8gTtEejosjz1GejotjTsCr0BBfTtJdjpDezmLPdvXAAAAAWJLR0QAiAUdSAAAAAd0SU1FB+YEGAo4D+ZTrzMAAADfSURBVBjTY2DADxiZmEEUCyMDKyNUiI2RnYOTi5uHgYGXj19AUIiBQRgiISLKISbOJcEgKcUFBNIMMrJgYTl5VgVFJS5lFVWQsJq6hqYWWFxbR5eBg4tfTx8kzKVgYGhkDDHHxNTMnMvC0gooam1ja2NnDxJ0cHB0cnbhQgBXN3cHBweguIenlzdUzMeXy88/wAEi7uAQGBTMFRLqzMUVFh4RGRUdAxN3iI1zi09ISExKTnFwSE2DqU/PyMzKdsjJzcsvKCwqLimFiZeVV1RWOVTX1NZk19U3RDQizMEEAJdUNe3CKbfNAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDIyLTA0LTI0VDEwOjU2OjE1KzAwOjAwtH1smgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMi0wNC0yNFQxMDo1NjoxNSswMDowMMUg1CYAAAAASUVORK5CYII=
C,Argentina,https://en.wikipedia.org/wiki/Argentina_national_football_team,iVBORw0KGgoAAAANSUhEUgAAABcAAAAOBAMAAAA23ZrAAAAABGdBTUEAALGPC/xhBQAAACBjSFJNAAB6JgAAgIQAAPoAAACA6AAAdTAAAOpgAAA6mAAAF3CculE8AAAAJ1BMVEV0rN+iyOr///////7+9N386b7/+vDxzHjlpBvyz3v/+vHooxzxzXmOxmdwAAAAAWJLR0QCZgt8ZAAAAAd0SU1FB+EICgEmGwZ46d0AAAAqSURBVAjXY2AgAwgigACDEhAouzqDKAUwR61iFoKjNfsYggNXhmIAGQAAtGQKcMLzRdEAAAAldEVYdGRhdGU6Y3JlYXRlADIwMTctMDgtMTBUMDE6Mzg6MjcrMDA6MDBBhnHKAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDE3LTA4LTEwVDAxOjM4OjI3KzAwOjAwMNvJdgAAAABJRU5ErkJggg==
C,Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia_national_football_team,iVBORw0KGgoAAAANSUhEUgAAABcAAAAPCAMAAAA4caRkAAAABGdBTUEAALGPC/xhBQAAACBjSFJNAAB6JgAAgIQAAPoAAACA6AAAdTAAAOpgAAA6mAAAF3CculE8AAAAsVBMVEUAbDUbfEojgFEJcTwlgVI4jGEXeUcrhVcae0qMvaSiybVYn3tgo4GJu6KTwambxbBrqopkpoSmzLidx7EIcTuSwKmUwapcoX5boH2ZxK5uq4yBtpsUeEUNcz9mp4aHuqBXnnpvrI2gyLSv0cCDuJ1fo4CEuJ4igFAZekk/kGdJlm80il5don8ziV0gfk49j2U+kGYWeUZMmHEEbjgthllWnnlVnXhpqYg7jmQwiFv////Ek3LpAAAAAWJLR0Q6TgnE+gAAAAd0SU1FB+EICBMkNCo0CZMAAABkSURBVBjTY2CgKmBkYmZhYWVhY2NnRBbm4OTi5uHl4xcQFBJmRhIX4RQVE5eQlBLgkeaUQRKXlZNXUFRSVlGVU5NWRxLX0NTS1mHT1dM3MDQypsihJqZmIGBugV2ayZK64cIAAHUnB89v6zvnAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDE3LTA4LTA4VDE5OjM2OjUxKzAwOjAwBeMbTQAAACV0RVh0ZGF0ZTptb2RpZnkAMjAxNy0wOC0wOFQxOTozNjo1MSswMDowMHS+o/EAAAAASUVORK5CYII=
